B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
201,443,340,803,2922,3844,4172,1734,813,0
408,686,844,1082,1575,1844,1817,1992,1268,0
252,447,613,794,1130,1262,1192,1472,1039,0
5422,5375,5358,5842,6284,6407,6654,5261,4430,1
8984,8808,8561,8699,8748,8786,8887,8131,7089,1
0,267,411,732,1255,1499,1529,1501,939,0
1706,1550,1426,1356,1391,1362,1449,194,144,1
4281,4357,4459,4817,5118,5105,5350,2549,2279,1
2974,3119,3287,3953,4127,4082,3883,4825,4457,1
7902,8244,8427,8163,8193,7671,7703,312,269,3
6926,6802,7348,7291,7286,6749,6933,526,481,3
7453,7148,7440,7449,7145,6276,6279,451,368,3
521,663,875,1352,1634,1725,1915,2138,1516,0
374,644,640,1103,1842,1819,1987,1943,1311,0
340,702,773,1300,2327,2438,2921,2404,1703,0
3018,3022,3538,4370,5132,5318,5555,4539,4192,1
277,547,460,1050,2745,3190,3274,2007,1228,0
297,588,429,990,2666,3186,3401,1720,1019,0
209,498,297,869,3117,3836,4039,1785,957,0
382,642,395,970,3153,4003,4270,1785,877,0
291,566,441,939,2677,3204,3226,1557,795,0
4231,3770,3750,4370,5072,5323,5539,4830,4304,1
409,619,703,1107,2357,2812,2559,1685,876,0
705,868,1165,1424,2266,2587,2486,2154,1256,0
1982,2031,1732,2205,3264,3578,3844,2897,2375,1
10693,9164,8494,8748,8533,8044,8033,6017,4902,1
928,1231,1518,1588,2150,2477,2515,2662,1992,0
1048,1322,1590,1724,2291,2589,2556,2780,2076,0
1646,1335,1091,1379,1957,2313,2308,1673,1452,1
771,1104,1199,1416,2368,2696,2775,2462,1668,0
