B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
254,450,382,928,2908,3851,4073,1883,963,0
499,749,957,1163,1452,1647,1623,2308,1862,0
509,771,989,1197,1461,1592,1645,2243,1904,0
4002,4095,4060,4374,4854,5004,5325,4464,3992,1
565,777,758,1169,1690,1824,1912,2144,1493,0
179,386,466,838,1426,1579,1529,1689,1163,0
4375,4366,4492,5140,5265,5252,5393,4790,4218,1
6840,6946,7115,7112,7163,6993,7282,964,985,1
7756,7524,7669,7898,7812,7686,7860,7074,5933,1
8084,8303,8402,8019,7895,7366,7419,420,401,3
6417,6262,6653,6550,6502,6058,6169,1364,1341,1
7744,7663,7805,7853,7464,6573,6374,348,271,3
763,1001,1119,1627,2018,2094,2138,1870,1341,0
289,560,566,1161,2114,2338,2512,2060,1421,0
153,440,309,943,2514,2784,2963,1940,1222,0
65,171,155,339,1155,1404,1510,609,337,2
266,468,337,1012,2882,3538,3988,1928,1205,0
333,563,469,986,2785,3392,3739,1652,1013,0
231,455,333,895,2740,3538,4006,1723,1030,0
315,266,139,307,829,1125,1275,482,406,2
359,604,629,1143,2150,2400,2543,1797,1198,0
3431,3347,3433,3899,4247,4368,4533,3653,3545,1
450,698,852,1306,1897,2143,2257,1930,1254,0
1178,1366,1702,1965,2624,2792,3148,2827,1853,0
2027,1999,1965,2056,2373,2348,2140,2294,1580,1
2684,1472,1430,1995,2536,2622,2741,2235,1713,1
931,1239,1539,1776,2225,2463,2635,3325,2775,0
12000,10990,10085,10765,10294,9554,9538,6304,4456,1
1836,1920,2133,2613,3576,3756,3799,2796,2334,0
505,892,567,1378,3361,3799,4317,2417,1358,0
