B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
226,450,283,924,3419,4549,4857,1954,935,0
674,979,1245,1496,2170,2439,2707,3199,2426,0
705,1020,1187,1513,2213,2479,2861,3083,2484,0
8168,7973,7928,8337,8506,8500,8798,5942,4520,1
1558,1743,1635,2211,3261,3594,3905,3189,2194,1
200,521,569,1196,2177,2443,3141,2490,1587,0
6491,6512,7063,6915,7257,7307,7983,1438,1333,1
10029,10017,10084,10004,9857,9546,10271,1698,1844,1
5314,4753,4575,4413,4264,4062,4078,1287,1138,1
9270,9363,9551,9266,8997,8484,8455,405,409,3
6724,6604,6954,7342,7278,6815,6643,1111,1089,1
4614,4747,5238,6308,6070,5436,4612,1272,1146,3
5017,4726,4927,5329,5196,4858,4764,3411,3281,1
436,523,643,961,1265,1345,1488,1705,1303,0
560,859,1049,1508,2268,2408,2792,2852,2164,0
623,887,935,1494,2706,3034,3513,2738,1818,0
486,766,747,1303,2702,3092,3370,2632,1783,0
346,634,546,1170,2825,3329,3750,2291,1432,0
287,511,353,985,3060,3801,4332,2047,1178,0
228,401,520,707,1674,2096,2356,1015,522,0
227,447,318,927,2416,3020,3469,1761,989,0
344,589,448,1073,2543,3184,3587,1984,1053,0
342,1018,1465,1964,3185,3556,3850,2707,1845,0
5267,5012,5205,5843,6396,6432,6646,5369,4467,1
5115,4922,4763,5028,5083,4998,5302,4656,3973,1
3132,3933,4467,4745,5235,5185,5374,4194,3527,1
971,1231,1654,1799,2352,2605,2981,3564,2751,0
1609,1682,1890,2438,2998,3160,3165,2194,1613,0
5731,5032,5162,6038,6582,6548,6652,5636,4895,1
399,608,402,1156,3069,3648,4302,2437,1369,0
