B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
175,597,222,1122,4478,5214,5488,1873,821,0
358,557,766,900,1048,1196,1358,1835,1552,0
427,616,831,969,1109,1226,1403,1874,1695,0
2159,2416,2460,2875,3576,3783,4068,3265,2921,1
6427,6253,6213,6341,6320,6331,6478,5838,5047,1
115,273,375,622,990,1123,1203,1176,817,0
4722,4403,4265,4255,4184,4025,3983,305,284,3
7829,7749,7815,7734,7555,7295,7710,1110,1158,1
4758,4597,4811,4845,4886,4818,5195,4820,4359,1
7941,7829,8197,7854,7736,7335,7277,173,146,3
4677,4542,4942,5525,5646,5580,5634,1921,1654,1
307,525,747,1621,2058,2064,1956,1104,728,0
377,539,703,1113,1595,1721,1910,1796,1271,0
253,467,473,915,1763,1885,2029,1598,1028,0
241,531,518,1012,2135,2326,2538,1919,1292,0
2365,2297,2773,3427,3960,4043,4158,3799,3511,1
213,449,326,850,2428,2879,3098,1587,859,0
272,520,383,896,2577,3067,3229,1457,782,0
245,457,382,830,2471,2988,3164,1487,757,0
1809,1531,1185,1506,2617,3054,3234,2066,1249,1
294,498,493,869,1706,1955,2052,1612,1026,0
433,640,615,990,1912,2264,2298,1750,992,0
385,564,605,965,1633,1884,2013,1669,1031,0
582,695,801,1181,2029,2271,2159,1986,1223,0
393,478,565,783,1109,1239,1274,1277,661,0
4128,3828,3366,3782,4387,4479,4845,3934,3555,1
550,693,974,1155,1436,1609,1816,2412,1949,0
788,984,1440,1801,2579,2876,3225,2956,1920,0
6041,5913,5932,6339,6405,6098,6166,4952,4047,1
678,891,1186,1367,1830,2052,2303,2527,1842,0
