B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
113,278,237,535,2161,3026,3287,1242,640,0
310,520,664,906,1370,1599,1551,1695,1049,0
595,834,987,1169,1607,1700,1801,1847,1330,0
1351,1528,1542,1801,2282,2435,2665,2082,1963,1
416,497,489,821,1118,1260,1116,1187,788,0
109,426,571,744,1036,1152,1382,1554,1093,0
188,371,585,759,974,1075,1156,1361,1143,2
34,177,364,574,739,909,982,1030,804,0
4326,4441,4681,4987,5129,5208,5482,4653,3785,1
7426,7540,7644,6910,6816,6496,6608,433,309,3
2593,2714,2958,2936,3004,2871,3137,664,569,3
621,730,1066,1897,2029,1916,1717,1205,957,0
270,332,411,520,615,611,670,626,462,2
304,559,730,1064,1321,1414,1435,1675,1260,0
158,529,676,1185,1705,1763,2060,2056,1647,0
7007,6651,6881,7486,7525,7135,7260,6500,5928,1
372,641,614,1132,2333,2627,2840,1836,1256,0
356,563,530,940,2280,2656,2882,1604,1021,0
460,657,647,991,2613,3246,3492,1791,1186,0
463,597,491,937,2997,4037,4450,1819,1005,0
231,453,331,775,2615,3295,3613,1570,854,0
5698,5864,5946,6367,6717,6737,6976,5994,5477,1
980,738,667,815,1449,1685,1783,1054,673,0
613,768,1079,1277,2098,2629,2618,1860,1153,0
545,768,965,1201,2322,2839,2999,2006,1181,0
738,966,1166,1261,2562,3216,3682,2476,1471,0
744,1010,1344,1518,2530,3038,3334,2858,1855,0
3777,2515,1996,2121,3091,3507,3744,2684,1769,1
6678,6270,6105,6834,7336,7206,7460,5198,4398,1
843,1098,1358,1512,2411,2901,2990,2756,1942,0
