B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
137,310,193,494,2394,3595,3864,1308,567,0
478,678,872,1107,1382,1544,1648,1961,1468,0
458,626,809,931,1059,1196,1369,1793,1688,0
7927,7442,7267,7728,7915,7879,8028,6700,5517,1
201,220,250,292,342,420,449,420,253,2
75,254,368,544,734,873,995,1095,815,0
152,204,277,355,477,504,502,568,484,2
6133,6163,6374,6527,6447,6369,6424,849,930,3
5046,4754,4664,4703,4547,4321,4192,2081,1905,1
7963,8106,8257,8162,7995,7513,7284,331,344,3
6104,5851,6205,6504,6378,6018,5871,483,500,3
8706,8346,8431,8923,8359,7261,6708,82,94,3
6769,6487,6612,7053,6650,6012,5742,645,622,3
321,475,592,870,1183,1263,1355,1574,1164,0
335,618,705,1056,1590,1644,1790,1976,1600,0
11092,10269,10409,11289,11105,10477,10599,6254,4984,1
383,708,613,1144,2339,2554,2702,2021,1370,0
412,707,569,1098,2444,2745,3018,1843,1186,0
334,625,437,960,2490,2917,3038,1614,992,0
318,447,258,723,2812,3890,4201,1496,745,0
174,372,237,665,2154,2785,3051,1185,615,0
309,523,368,938,2422,3026,3374,1493,787,0
400,664,647,1204,2023,2325,2704,1557,930,0
7964,6549,6120,6294,5956,5626,5352,4854,3896,1
2436,2138,1934,2578,3229,3513,3585,2739,2646,1
2499,2703,3100,3568,4423,4571,4915,3586,3254,0
939,1215,1593,1778,1978,2152,2475,3059,2473,0
211,251,384,469,593,711,849,712,497,2
2323,1966,1790,1996,2584,2631,2652,2175,1433,1
455,791,526,1262,3265,3662,3867,2342,1283,0
