B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
206,557,228,999,4071,4862,5447,1867,864,0
329,674,643,1156,2229,2549,2628,1998,1237,0
301,525,597,975,1639,1864,1911,1770,1182,0
2036,2134,2071,2571,3445,3737,3983,3291,2987,1
5397,5411,5360,5384,5594,5629,5784,5673,4962,1
237,393,549,894,1504,1654,1673,1460,937,0
4098,3803,3819,4051,4117,4007,4077,1698,1622,1
9034,9008,9278,9554,9314,9100,9099,1564,1545,1
7703,7684,8380,8666,8733,8735,8884,9209,8389,1
7731,7651,7730,7713,7473,7045,6896,127,105,3
7388,7235,7960,8391,8390,7970,7993,701,720,3
4328,4135,4305,4396,4501,4067,4128,526,356,3
423,620,806,1243,1729,1860,2064,2147,1499,0
266,483,552,1052,1728,1843,2157,1810,1186,0
313,582,644,1117,2095,2326,2370,2135,1503,0
78,162,81,377,1243,1519,1448,651,314,0
210,489,307,956,3366,4040,4535,1963,1087,0
391,642,502,1075,3394,4160,4183,1870,1049,0
209,464,281,889,3429,4365,4382,1819,933,0
11494,10733,10727,11282,11068,10469,10568,6094,5176,1
239,511,323,932,3059,3649,3985,1861,1025,0
300,565,313,1000,3435,4252,4649,1990,934,0
316,597,415,1083,3108,3664,4023,1857,921,0
620,905,1019,1512,2442,2765,3057,2536,1648,0
495,715,909,1280,2429,2694,2943,2254,1288,0
939,1019,1170,1573,2812,3185,3469,2401,1422,0
476,742,909,1318,2512,2912,3237,2715,1640,0
1484,1219,1375,1506,2431,2859,3009,3086,2202,0
241,256,361,662,1029,1290,1524,1106,874,0
594,825,937,1351,2114,2385,2617,2712,1894,0
