B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
162,357,238,622,2694,3822,4269,1566,769,0
692,938,1162,1236,1375,1462,1552,1986,1699,0
733,993,1179,1299,1416,1568,1712,1960,1811,0
652,992,1302,1824,2664,2990,3262,2517,2276,0
379,597,678,944,1253,1354,1389,1718,1332,0
0,246,396,724,1110,1247,1312,1428,1127,0
851,892,1218,1989,2266,2437,2590,2794,2804,0
5587,5714,5893,6334,6290,6200,6413,730,807,3
5806,5516,5559,5625,5479,5256,5105,3514,3126,1
8336,8494,8782,8651,8509,8005,7733,287,313,3
3694,3474,3677,3834,3870,3706,3654,2111,1787,1
8910,8638,8802,9289,8703,7567,6983,105,112,3
7483,7287,7472,7792,7418,6764,6570,861,811,3
420,623,659,1133,1514,1560,1639,1863,1475,0
277,542,554,1086,1538,1609,1633,1733,1441,0
7570,7438,7692,8220,8209,7744,7654,6021,4722,1
267,530,456,1101,2096,2386,2639,1865,1324,0
321,541,492,1006,2125,2416,2883,2004,1314,0
322,594,438,1199,2602,2967,3514,1980,1501,0
167,289,268,505,1136,1281,1643,687,443,0
266,493,408,1048,2034,2325,2922,1546,1053,0
395,656,607,1304,2411,2756,3113,1986,1221,0
405,640,725,1281,2185,2615,2433,1864,1157,0
351,306,382,505,968,1162,1137,737,458,2
7186,6003,5687,6422,6706,6517,6653,4936,3928,1
758,1017,1283,1480,2594,2868,3030,2476,1531,0
687,1037,1180,1530,2503,2636,2515,2633,1702,0
7771,6768,6406,6433,6122,5580,5209,4823,3605,1
2396,2502,2900,3180,4052,4123,4040,3376,2643,1
402,834,498,1393,3254,3647,4216,2182,1203,0
