B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
265,602,372,1207,3043,3458,3781,1935,1010,0
374,751,642,1298,2716,3142,3329,2299,1243,0
420,600,832,954,1429,1655,1314,1863,1574,0
365,471,677,821,1438,1670,1184,1496,1001,0
5451,5328,5205,5454,5376,5344,5319,4736,3750,1
147,350,501,745,1231,1354,1069,1229,885,0
6638,6502,6600,6613,6467,6240,6431,445,486,3
8528,8360,8418,8553,8345,8095,8103,1290,1357,1
4601,4080,4155,4306,4311,4244,4288,3637,2957,1
6855,6744,6952,6819,6880,6569,6470,204,150,3
4419,4250,4602,5031,5286,5269,5477,4232,3979,1
272,386,609,919,1137,1197,1062,1385,1016,0
408,560,840,1263,1591,1699,1682,2131,1556,0
344,508,625,1015,1559,1706,1850,1931,1303,0
399,622,836,1168,1644,1742,1798,2197,1838,0
2681,2884,3206,3602,3951,3945,4151,3742,3404,0
263,533,434,922,2592,3121,3161,1867,1075,0
336,551,452,919,2738,3307,3345,1681,934,0
240,451,323,803,2774,3442,3444,1621,837,0
532,721,608,1098,2621,3275,3696,2021,1140,0
291,502,451,885,2145,2522,2636,1674,998,0
378,628,513,1016,2440,2923,3155,1831,954,0
409,663,719,1176,1817,2047,2297,2020,1281,0
526,725,822,1245,2015,2280,2696,2179,1332,0
522,700,894,1119,1778,1962,2043,1802,1024,0
1059,1407,1655,1978,3037,3434,3700,3200,2023,0
526,725,955,1128,1705,1976,1936,2372,1702,0
825,997,1290,1443,1831,1999,2049,2630,2115,0
7445,6799,6737,7129,7051,6720,6744,5266,4203,1
680,869,1129,1312,1585,1742,1978,2598,1987,0
