B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
190,409,285,653,3130,4480,4886,1708,769,0
653,920,1128,1248,1342,1441,1527,1891,1657,0
697,960,1204,1322,1415,1496,1630,1996,1825,0
410,505,619,733,899,982,1009,1094,834,0
580,758,828,999,1233,1365,1384,1429,1092,0
0,266,439,710,1024,1144,1271,1305,892,0
132,451,539,848,1184,1306,1420,1486,1129,0
1812,1976,2124,2344,2614,2682,2896,598,461,0
5048,5019,5164,5473,5557,5558,5970,5621,4886,1
8181,8371,8584,8673,8420,7832,7788,262,230,3
6276,6130,6588,6765,6674,6249,6227,380,376,3
1542,1652,1819,2233,2315,2286,2207,1134,856,0
264,495,654,967,1251,1301,1464,1333,1087,0
359,603,661,1052,1655,1737,1836,1512,1096,0
460,730,836,1290,2027,2181,2340,2133,1672,0
9078,8555,8520,9317,9154,8499,8627,6644,5073,1
201,435,335,793,2787,3439,3626,1563,869,0
249,449,330,760,2755,3606,3785,1419,702,0
196,399,224,699,3003,4084,4421,1593,772,0
309,544,400,959,2893,3788,4297,1479,718,0
224,440,396,885,1906,2311,2680,1373,788,0
347,574,546,1001,1988,2386,2826,1499,864,0
418,553,645,1007,1593,1842,2031,1521,957,0
633,790,1160,1341,1586,1778,2155,1864,1190,0
594,616,803,968,1162,1303,1320,1454,871,0
6041,4834,4489,5728,6216,6236,6176,4381,3305,1
685,939,1312,1572,1988,2239,2508,3113,2212,0
808,981,1349,1679,2282,2568,2910,3409,2347,0
5703,4931,4191,4621,5336,5493,5679,4244,3635,1
600,921,903,1395,2958,3260,3529,2601,1549,0
