B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
379,740,731,1231,2329,2622,2742,1746,1209,0
483,885,808,1270,1988,2233,2614,1895,1365,0
743,860,1025,1040,1173,1199,1370,1718,1442,0
1537,1185,1014,1316,1665,1777,1764,1596,1240,1
617,801,865,1068,1190,1311,1266,1691,1366,0
413,678,832,930,1155,1249,1485,1733,1379,0
292,379,468,592,734,810,770,785,618,2
62,373,514,634,875,963,1172,1151,874,0
4704,4765,4864,5155,5184,5181,5361,4861,4081,1
7144,7397,7595,6553,6534,6135,6564,651,525,3
3494,3532,3969,4464,4535,4466,4469,1763,1555,1
355,597,831,1138,1358,1399,1579,1865,1525,0
0,45,92,187,264,286,336,341,260,2
534,793,919,1476,2082,2238,2423,2161,1611,0
508,797,869,1441,2191,2331,2653,2264,1771,0
6392,6045,5943,6336,6321,5959,5748,5229,4170,1
291,610,479,1222,2469,2762,3230,1963,1435,0
426,679,610,1120,2188,2487,2879,1786,1306,0
532,792,760,1290,2487,2819,3213,2081,1576,0
2074,2233,2257,2693,3398,3540,3832,3205,2558,1
602,810,889,1370,2127,2254,2510,2164,1634,0
1542,2583,4176,4518,5133,5299,5579,4171,3771,1
653,901,1213,1725,2113,2301,2515,2912,2131,0
1598,1560,1477,1906,2595,2836,2959,2703,1827,1
674,826,950,1396,1736,1835,1934,2321,1728,0
511,613,652,830,1045,1167,1222,1316,845,0
724,1011,1227,1644,2192,2357,2700,3032,2101,0
12000,12000,12000,12000,12000,10890,10511,6711,5504,1
2654,2272,2116,2486,3153,3334,3307,2965,2039,1
1055,1416,1637,1892,2418,2582,2732,2921,2283,0
