B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
162,367,254,670,2926,4093,4447,1603,709,0
693,945,1121,1241,1607,1684,1528,2148,1673,0
768,980,1153,1268,1702,1819,1826,2196,1779,0
1663,1699,1646,1978,2664,2824,2926,2568,2074,1
482,669,713,1087,1486,1662,1457,2062,1429,0
0,286,485,850,1404,1547,1836,1893,1417,0
1527,1676,1697,1959,2178,2198,2462,2524,2346,0
5110,5261,5618,6069,6203,6130,6299,745,768,3
4995,4760,4799,4886,4753,4621,4449,2368,2265,1
8199,8347,8694,8597,8529,7950,7806,332,337,3
3841,3487,3476,3504,3540,3321,3284,781,764,3
8900,8468,8664,8345,7906,6980,6760,337,291,3
7473,7222,7401,7649,7397,6736,6622,1001,810,3
384,615,689,1143,1596,1650,1717,1903,1421,0
278,550,611,1104,1704,1805,2027,1959,1527,0
7096,7095,7366,8069,8234,7863,8185,5807,4843,1
321,603,440,1172,2242,2463,2573,1934,1346,0
391,685,562,1127,2263,2597,2805,2065,1358,0
409,606,568,1246,2547,2924,3177,2050,1479,0
89,205,126,392,909,1124,1277,585,409,2
277,521,423,1128,2102,2301,2661,1761,1164,0
398,680,644,1342,2307,2718,2612,2027,1248,0
412,644,728,1170,2134,2386,2113,1821,1080,0
583,770,1396,1352,1878,1967,1854,1358,863,0
7363,6325,6021,6435,6323,5930,5651,4494,3171,1
670,930,1088,1365,2780,3146,2828,2338,1318,0
582,878,971,1381,2749,2929,2761,2493,1429,0
4237,3363,4408,5045,5498,5356,5332,4277,3529,1
1666,1884,1544,1937,3275,3629,4049,2317,1464,1
356,784,404,1342,3203,3565,4070,2186,1087,0
