B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
116,362,218,615,2898,3977,4190,1696,727,0
508,713,970,1036,1629,1770,2030,2323,1756,0
470,704,928,1022,1593,1759,2153,2113,1583,0
3299,3496,3717,4277,4855,5125,5389,4254,3752,1
456,677,766,1116,1703,1933,1976,2264,1494,0
130,404,531,798,1288,1459,1947,1743,1117,0
7479,7363,7592,8005,8039,7948,8173,7401,6725,1
6183,6337,6355,5730,5861,5905,6871,924,884,3
5043,4754,4764,5076,4981,4922,4827,4203,3218,1
7862,7937,8061,7071,7089,6606,7230,427,366,3
6350,6275,6678,6648,6628,6260,6630,1505,1445,1
5962,5720,5945,5979,5850,5290,5760,558,422,3
705,973,1149,1645,2148,2266,2626,2364,1615,0
282,484,502,1000,1965,2149,2418,2085,1335,0
189,497,491,994,2138,2351,2877,2234,1477,0
52,143,89,304,985,1164,1248,606,297,2
194,509,331,935,2816,3295,3600,1683,870,0
300,552,386,1021,3105,3644,3904,1647,852,0
198,433,282,816,2942,3648,3801,1626,807,0
729,321,129,297,808,997,908,483,238,0
279,541,466,958,2344,2749,2838,1793,1021,0
5646,4774,3455,3547,3580,3364,3627,3062,2435,1
511,710,986,1285,1880,2151,2370,2126,1299,0
894,1079,1387,1527,2102,2433,2514,2536,1565,0
1253,1220,1286,1672,2298,2544,2596,2083,1888,1
2191,2280,2284,3150,4048,4414,4780,3328,3233,1
852,1129,1395,1484,2013,2275,2480,3096,2476,0
12000,11305,10818,11373,10955,10313,10274,7188,5869,1
2557,2472,1760,2156,3035,3214,3529,2667,1768,1
405,570,648,913,1602,1848,1875,1927,1173,0
