B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
344,532,445,787,2849,3835,4190,1668,816,0
500,753,984,1193,1405,1542,1734,1823,1294,0
294,470,659,958,1208,1307,1259,1597,1240,0
2289,2475,2393,2862,3809,4089,4485,3140,2609,1
10857,10856,10803,10983,10938,10891,10957,9598,7975,1
22,346,476,843,1263,1494,1410,1528,1042,0
309,408,502,659,890,935,870,417,339,2
4670,4531,4350,4552,4805,4807,4909,2640,2255,1
2760,2867,3066,3635,3745,3906,3926,4462,3921,1
8104,8241,8553,8492,8337,7832,7591,184,183,3
7332,7052,7566,7929,7760,7215,6999,346,351,3
3860,3542,3944,3674,3763,3530,3903,885,634,3
333,573,761,1200,1558,1630,1717,1783,1295,0
329,615,650,1107,1912,2048,1953,1714,1152,0
444,874,832,1403,2472,2697,2972,2370,1747,0
1999,2399,2904,3745,4654,4778,5048,3911,3571,0
415,729,818,1301,2265,2578,2840,2211,1624,0
482,804,825,1256,2372,2642,2945,1994,1420,0
451,755,755,1259,2555,3020,3239,2090,1502,0
548,801,728,1310,2766,3255,3500,2091,1359,0
379,683,583,1155,2464,2719,2803,1778,1176,0
2842,3243,3257,3672,4346,4503,4678,4074,3388,1
549,832,998,1383,2380,2746,2857,1957,1237,0
795,986,1202,1519,2001,2171,2320,2335,1623,0
1865,1937,1648,2083,2971,3269,3591,2728,1995,1
4610,4474,4939,5370,6062,6103,6933,4688,3952,1
970,1275,1602,1773,2014,2138,2271,2707,2268,0
1052,1329,1688,1833,2253,2426,2602,2803,2229,0
4974,3734,3125,3672,4071,4087,4593,2896,2188,1
836,1166,1392,1670,2211,2367,2502,2543,1982,0
