B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
216,420,463,917,1599,1841,2164,1859,1098,0
292,480,512,690,1050,1214,1264,1289,870,0
398,567,594,786,1392,1512,1695,1414,975,0
323,502,452,726,1422,1619,1749,1309,764,0
7281,7226,7225,7396,7417,7445,7697,6753,5760,1
181,456,349,824,1753,1970,2145,1207,691,0
6354,6190,6256,6694,6659,6490,6481,3041,2646,1
6916,6603,6475,6442,6438,6224,6183,906,967,1
4161,4071,4341,4601,4861,4919,5203,5041,4563,1
6622,6505,6526,5621,5607,5493,5786,428,300,3
6845,6607,7218,6578,6611,6413,7014,777,731,3
1661,1709,1740,2187,2776,2811,2945,715,440,1
445,613,671,1239,2186,2349,2665,2093,1370,0
289,486,458,1037,2148,2365,2677,1813,1144,0
204,439,405,962,2257,2466,2666,1843,1120,0
2548,2860,3202,3704,4239,4287,4604,4363,4267,0
211,437,320,802,2260,2742,3137,1787,985,0
233,427,319,777,2452,2979,3459,1509,793,0
185,346,225,636,2414,3132,3539,1353,680,0
393,576,421,888,2468,3141,3608,1555,792,0
218,480,451,875,1836,2195,2533,1460,876,0
362,555,587,1016,1830,2142,2421,1670,981,0
338,538,596,932,1467,1715,1872,1555,987,0
460,584,835,1148,1546,1689,1967,1767,1108,0
190,249,389,454,582,694,801,536,306,0
685,825,1093,1187,1490,1690,1920,2048,1599,0
813,1031,1357,1441,1683,1895,2133,2388,1932,0
1200,1363,1481,1657,2286,2512,2921,2603,1844,0
7358,6843,6677,6979,6845,6605,6585,4777,3532,1
834,1082,1313,1513,1824,1992,2154,2402,1853,0
