B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
313,501,659,931,1139,1298,1424,1665,1127,0
447,642,799,895,1514,1718,1500,1731,1270,0
531,743,809,984,1814,2061,1916,1782,1325,0
1644,1828,1933,2403,2996,3206,3295,2698,2190,1
236,257,242,351,604,630,544,555,358,0
64,375,338,763,1514,1669,1717,1454,936,0
0,0,0,78,159,170,172,126,76,2
48,8,0,1,55,94,118,3,24,2
2936,2339,2050,1970,1890,1738,1572,131,125,3
8143,8277,8573,8437,8264,7810,7594,292,298,3
8322,8236,8778,9304,9128,8410,8100,395,392,3
8437,8323,8501,9078,8483,7405,6739,112,131,3
10662,9790,9662,10406,9930,9433,9321,4888,4256,1
321,542,543,1040,1812,1952,2101,1959,1408,0
153,424,328,839,1901,2089,2323,1908,1290,0
233,432,262,777,2220,2634,3046,1543,977,0
123,346,216,826,2447,2930,3338,1600,1028,0
222,408,284,869,2328,2815,3313,1535,1082,0
208,400,224,800,2472,3149,3781,1862,1123,0
948,1005,1013,1384,2138,2414,2692,1878,1459,0
219,494,361,968,2197,2552,3040,1567,1034,0
362,680,571,1205,2351,2701,3127,1832,1120,0
418,687,883,1275,1927,2191,2441,1744,1061,0
721,921,1324,1491,2069,2358,2518,2251,1486,0
1338,1277,1235,1470,1958,2096,2282,1956,1595,1
928,1128,1396,1377,1969,2378,2211,2306,1839,0
906,1105,1422,1478,1888,2169,2068,2497,2021,0
12000,12000,11517,11300,10499,9646,9484,5022,3670,1
795,1004,1226,1311,1910,2277,2048,2093,1484,0
1240,1593,1833,2011,2666,2967,3117,3080,2438,0
