B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
423,802,710,1315,2379,2566,2699,1708,1132,0
595,1184,997,1587,2554,2976,3345,2079,1333,0
481,915,775,1328,2118,2365,2981,1716,1141,0
4540,4766,4755,5083,5581,5657,6001,5073,4357,1
8486,8538,8599,8764,8985,9070,9455,8326,7324,1
105,412,680,871,1093,1189,1310,1624,1278,0
7893,7987,8536,9057,9044,8849,9047,8275,7840,1
4581,4678,4956,4891,4857,4745,5109,893,864,3
5525,5090,5143,5372,5332,5258,5150,4390,3301,1
8152,8419,8810,8823,8685,8210,7849,265,237,3
7489,7040,7339,7633,7580,7327,7416,3004,2892,1
1706,1860,2056,2271,2520,2280,2007,935,744,0
198,266,381,522,541,531,573,697,525,2
439,647,822,1297,1556,1634,1662,1876,1531,0
514,848,1030,1437,1920,1958,2119,2284,1942,0
663,926,1258,1620,2094,2265,2337,1855,1753,0
426,659,588,1269,2594,2970,3223,1943,1348,0
333,541,421,997,2614,3164,3598,1622,1041,0
244,458,279,861,2893,3776,4219,1567,891,0
1173,1056,1079,1270,1600,1779,1893,775,704,1
210,417,273,961,2702,3271,4026,1586,977,0
84,117,122,298,609,890,1028,491,500,2
541,782,889,1320,1822,2066,2295,1782,1305,0
7050,5688,4794,4452,4221,3831,3768,3817,2402,1
1980,2002,1768,2069,2440,2409,2682,2377,1916,1
4423,4532,4599,5018,5368,5259,5585,4506,3686,1
665,870,941,1393,2493,2957,3071,2318,1669,0
12000,12000,12000,12000,12000,11633,11282,6771,5209,1
556,1193,1612,1780,2390,2505,2928,1762,1551,0
552,853,619,1374,3882,4464,4643,2034,1064,0
