B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
405,716,728,1417,2900,3143,3230,2525,1489,0
158,556,198,1053,3733,4503,4999,2092,932,0
454,681,901,1044,1294,1467,1556,2007,1726,0
2137,2208,2208,2570,3209,3398,3678,2585,2017,1
1014,1284,1270,1721,2779,3104,3203,2774,1969,0
0,222,433,716,1168,1335,1376,1651,1130,0
7116,7231,7743,8262,8353,8226,8520,7722,7493,1
7250,7216,7369,7631,7744,7589,7787,955,1005,1
6848,6590,6638,7263,7251,7222,7383,6262,5093,1
8063,8176,8445,8337,8155,7643,7413,204,179,3
6625,6422,6942,7336,7353,7088,7068,2283,2209,1
7109,6915,7172,7690,7412,6560,6423,215,166,3
381,592,805,1374,1732,1840,1888,2271,1543,0
304,516,564,1193,1811,2007,2261,2050,1483,0
351,660,719,1266,2377,2573,2778,2506,1877,0
1976,1684,1639,2195,2695,2821,3247,2236,1879,1
283,580,527,1162,2577,3056,3352,2240,1434,0
364,612,540,1025,2612,3116,3419,1948,1208,0
237,460,359,817,2816,3589,3840,1799,950,0
2383,2339,2493,2774,3025,3033,3273,2503,2702,1
311,531,502,910,2243,2700,2812,1694,979,0
5135,5221,4960,4429,3965,3502,3215,2743,1564,1
532,723,984,1249,1706,1913,2120,2135,1443,0
717,877,1176,1369,1581,1725,2068,2409,1688,0
3018,3121,3127,3464,3823,3719,3763,3463,3067,1
4961,5159,5616,6150,6502,6327,6677,5846,5182,1
761,1050,1383,1586,1759,1909,2201,3029,2486,0
12000,12000,11737,12000,11629,10837,10860,6119,4533,1
155,142,240,290,320,374,388,460,262,2
866,1166,1494,1765,2204,2354,2608,3131,2442,0
