B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
215,507,343,836,3030,4013,4774,1826,899,0
392,749,724,1153,1891,2073,2181,1910,1239,0
381,571,779,875,1116,1249,1315,1708,1469,0
5218,5171,5041,5408,5785,5886,6088,4844,3851,1
454,590,734,856,1188,1344,1273,1728,1307,0
194,342,542,646,894,1044,942,1353,982,0
2740,3052,3531,3766,4072,4161,4909,4204,4093,0
7394,7434,7536,7829,7719,7585,7724,1008,1043,1
6982,6788,6958,7344,7358,7297,7362,6378,5311,1
7875,7997,8257,8321,8154,7687,7385,234,236,3
7186,6983,7499,7906,7961,7575,7580,2249,2165,1
8269,7968,8146,8625,8230,7180,6722,101,89,3
519,686,1101,1632,2051,2243,2481,2314,2019,0
629,782,930,1248,1673,1742,1834,2116,1672,0
614,923,1217,1543,2011,2092,2256,2750,2410,0
5601,4678,4423,4583,4680,4457,4152,4461,3446,1
449,718,780,1306,2227,2508,2541,2400,1869,0
468,739,756,1298,2391,2649,2778,2301,1733,0
357,630,555,1137,2409,2749,2912,2103,1516,0
4919,4218,3942,4246,4268,4110,4096,3691,3577,1
333,578,554,1262,2278,2551,2864,2237,1530,0
7490,7688,8002,8637,8327,8141,8448,5410,4344,1
541,806,1012,1351,2111,2367,2450,2232,1411,0
845,1060,1320,1479,2349,2604,2605,2450,1524,0
4511,4081,4038,4434,4718,4628,4791,4040,3367,1
903,973,1491,1548,2424,2811,3219,2823,1949,0
996,1285,1666,1730,2213,2409,2554,3139,2590,0
12000,11168,10556,11304,10740,10029,9842,6714,5125,1
108,142,165,281,577,636,641,483,251,2
613,1000,840,1464,3381,3708,4233,2628,1563,0
