B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
162,373,246,743,2916,3926,4147,1783,822,0
672,945,1179,1202,1534,1593,2070,2230,1662,0
839,1117,1381,1439,1756,1925,2049,2565,2052,0
390,527,704,869,1085,1220,1452,1580,1063,0
501,738,856,1084,1374,1663,1824,1945,1490,0
91,340,418,655,1071,1338,1377,1448,953,0
885,1208,1400,1677,2351,2223,2449,1425,1164,0
8886,9035,9246,9526,9334,9087,9190,1256,1348,1
8869,9054,9594,9851,9896,9524,9488,1885,1623,1
8887,9012,9171,9069,8885,8339,8058,309,278,3
9168,8911,9683,10185,10192,9577,9435,1181,1088,1
7658,7463,7588,7357,7191,6342,6501,338,242,3
2375,2450,2867,3332,3575,3627,3887,2352,2475,1
450,703,726,1247,1898,2064,2317,2086,1455,0
357,695,727,1303,2169,2239,2593,2258,1634,0
9563,8644,8599,9352,9219,8713,8924,6996,5951,1
217,498,410,1104,2924,3598,4001,1970,1257,0
290,540,351,1078,3139,3935,4388,1834,1041,0
516,791,732,1389,2886,3671,4072,2475,1838,0
2383,2080,2124,2245,2611,2632,2769,2581,1714,1
502,718,727,1411,2637,3105,3315,2170,1524,0
359,604,585,1290,2666,3229,3501,2300,1415,0
2565,2884,2932,3233,3809,3870,3921,3477,2668,1
896,1184,1272,1626,3089,3421,3368,2333,1350,0
713,925,1253,1279,2525,2955,2964,2031,1128,0
1053,1292,1530,1459,2715,3270,3316,2506,1621,0
934,1281,1582,1507,2515,2958,2970,2537,1723,0
1965,2491,2589,3310,3770,3751,4096,3462,3073,1
8862,8417,8200,8652,8653,8176,8219,6966,5779,1
849,1145,1169,1331,2513,3035,3026,2457,1539,0
