B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
154,355,250,667,2851,3909,4043,1615,741,0
382,618,786,1069,1394,1556,1613,2018,1428,0
406,636,772,1045,1534,1695,1858,1967,1459,0
462,579,700,987,1400,1587,1570,1762,1160,0
396,485,590,826,1220,1424,1290,1853,1279,0
0,0,0,0,0,9,14,26,17,2
909,855,1028,1158,1343,1375,1527,1431,1232,0
479,281,135,149,167,139,80,0,0,2
4261,4016,4048,4268,4159,4053,3937,3004,2684,1
6614,6572,6570,6492,6403,6060,5875,384,404,3
6727,6501,6753,7081,6939,6345,6251,181,220,3
7770,7460,7573,7932,7446,6522,6042,91,101,3
4261,3803,4115,4611,4729,4668,4942,2633,2666,1
1212,1328,1554,1911,2227,2295,2477,2512,2442,0
296,471,680,961,1410,1541,1569,2207,1850,0
413,583,618,938,1814,1991,1945,1958,1443,0
380,598,668,1069,2064,2344,2245,2179,1624,0
410,655,629,1138,2444,2743,2618,1970,1353,0
374,607,530,1009,2524,2970,3034,1919,1201,0
6841,6218,6073,6341,6265,5927,6018,5040,4003,1
221,423,272,842,2136,2548,2860,1679,1017,0
307,512,375,930,2357,2855,3145,1820,1003,0
405,666,601,1123,2119,2438,2658,1846,1081,0
505,687,802,1205,1909,2189,2198,2034,1268,0
4196,3443,3141,3630,4027,4009,4145,3770,3128,1
1775,1308,1291,1313,1686,1813,1929,1278,793,1
555,703,982,1087,1452,1735,1631,2356,1934,0
3162,3301,3192,3718,4492,4721,5180,3759,3451,1
443,545,722,855,1355,1519,1438,1723,1180,0
822,1045,1360,1473,1950,2173,2251,2823,2275,0
