B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
161,404,251,702,2509,3062,3330,1274,595,0
459,739,837,1158,1428,1564,1797,2022,1458,0
482,791,898,1248,1517,1625,1867,2212,1683,0
1331,1444,1468,1677,2100,2151,2255,2180,1805,1
1295,1559,1674,2060,2717,2934,3316,3464,2538,0
102,367,587,764,946,1052,1230,1646,1185,0
0,201,538,748,890,1064,1254,1745,1359,2
1180,1380,1635,1879,1992,2073,2322,1000,795,0
4334,4119,4015,4135,3999,3792,3528,469,381,3
8415,8637,8883,8945,8855,8360,8194,346,341,3
6465,6012,6147,6577,6617,6358,6386,5185,4635,1
8538,8332,8448,8582,8165,7198,6803,509,409,3
4742,4504,4269,4508,4498,4292,4143,1778,1899,1
181,430,743,1048,1381,1482,1602,1824,1397,0
445,637,832,1088,1428,1530,1679,2027,1700,0
453,667,693,1093,1713,1856,2006,1945,1452,0
466,793,754,1237,2247,2443,2557,2170,1559,0
455,738,669,1129,2408,2726,2855,1899,1270,0
368,563,445,924,2802,3439,3497,1753,995,0
1000,880,859,1021,1853,2231,2306,1465,857,0
331,532,462,829,2381,3125,3312,1507,825,0
491,738,707,1023,2436,3109,3404,1721,957,0
518,713,871,1184,1998,2395,2690,1762,1072,0
1673,1981,2207,2649,3462,3728,4107,3357,2788,0
265,301,366,438,552,620,733,526,331,0
603,778,953,1239,1507,1648,1915,2477,1655,0
820,1111,1467,1855,2211,2395,2713,3511,2472,0
12000,12000,10775,11344,10356,9537,9096,5159,3575,1
801,976,1232,1489,1817,1967,2164,2418,1802,0
1302,1637,1954,2244,2710,2870,3068,3536,2908,0
