B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
284,549,403,1080,3075,3515,3467,1701,844,0
496,729,959,1113,1658,1880,1810,2004,1431,0
591,821,1091,1227,1705,1899,1794,2055,1639,0
443,604,733,1043,1768,1982,1814,1800,1146,0
3527,3459,3348,3488,3683,3757,3733,3488,2898,1
148,372,451,795,1315,1501,1375,1409,913,0
5986,5557,5513,5538,5336,5114,5019,318,357,3
8552,8639,8809,8807,8745,8578,8910,1318,1383,1
2941,2835,3004,3302,3397,3500,3502,3719,3250,1
7308,7258,7575,6922,7012,6698,7125,385,245,3
2685,2748,3143,3154,3737,3649,4103,1864,1457,0
277,442,579,1065,1511,1566,1596,1533,1052,0
472,622,787,1363,1899,2032,1929,2231,1554,0
295,515,549,1145,2053,2247,2240,1899,1213,0
316,625,674,1247,2456,2656,2736,2188,1510,0
2500,2424,2681,3234,3711,3761,3931,3713,3384,1
232,505,402,931,2779,3374,3415,1808,972,0
293,528,382,948,2841,3445,3540,1620,870,0
215,408,270,780,2770,3513,3635,1510,760,0
486,649,449,1110,3145,4105,4742,1883,985,0
239,500,388,978,2353,2782,3281,1629,915,0
378,643,578,1118,2369,2889,3124,1865,965,0
382,593,634,1104,1872,2112,2207,1921,1120,0
458,647,762,1188,2152,2458,2371,2039,1176,0
602,792,1138,1346,2055,2281,2330,2019,1220,0
5976,5102,4498,4505,4832,4711,4766,4239,3137,1
725,952,1266,1376,2073,2327,2449,2579,1840,0
930,1133,1626,1706,2421,2731,2912,3206,2263,0
7819,7031,6815,7135,7040,6727,6604,5036,3798,1
838,1116,1436,1591,2194,2443,2802,2903,1949,0
