B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
160,382,291,880,2907,3924,4620,1762,925,0
460,630,772,1041,1500,1680,1566,1926,1398,0
623,831,1121,1284,1747,1889,2061,2276,1859,0
2167,2303,2266,2876,3656,3916,4208,3534,3136,1
695,880,959,1428,1916,2240,2544,2649,1830,0
161,366,462,902,1332,1516,1640,1762,1245,0
879,1097,1242,1786,2360,2571,2883,3014,2149,0
6320,6376,6401,5341,5372,5600,7075,936,876,3
5606,5628,5839,5867,6063,5927,6108,2487,2038,1
7854,8007,7788,6945,6873,6685,7647,550,509,3
4431,4057,4143,3696,3736,3467,3707,725,739,3
8118,7770,7831,6220,6156,5220,5611,840,650,3
2607,2521,2690,3004,3151,3035,3379,1920,1555,1
124,238,299,517,747,843,863,786,489,0
243,495,432,1061,1957,2115,2399,1936,1416,0
340,631,440,1305,3226,3796,4416,2228,1362,0
268,476,307,961,2698,3295,3559,1703,1055,0
297,507,372,985,2774,3325,3727,1608,956,0
173,440,279,915,2960,3651,4323,1734,1006,0
128,275,162,465,1472,2026,2231,708,364,0
235,471,288,958,2513,3098,3679,1654,992,0
399,620,483,1245,2944,3729,4345,2006,1151,0
445,725,572,1211,2539,2912,3561,1670,972,0
1278,1573,1266,1399,2076,2388,2533,1461,1162,1
8148,7318,7067,7426,7232,6788,6775,5441,4154,1
563,788,974,1227,1971,2183,2315,2056,1273,0
744,1118,1577,1723,2452,2671,3275,2894,1827,0
932,858,802,899,1362,1607,1832,1014,730,0
3923,3994,4219,4666,5184,5154,5252,4159,3366,1
599,897,836,1343,2910,3359,3707,2332,1285,0
