B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
503,835,1054,1506,2519,2844,3060,2146,1368,0
442,631,777,905,1144,1289,1270,1543,1167,0
411,590,712,896,1132,1241,1241,1432,1112,0
969,1237,1283,1753,2561,2847,3115,2516,2110,0
391,579,685,892,1188,1314,1240,1405,1026,0
58,268,375,664,1068,1162,1176,1139,728,0
6797,6665,6958,7164,7089,6895,6892,1259,1220,1
8779,8631,8871,9078,8911,8576,8801,1394,1456,1
0,304,500,809,1108,1252,1371,1401,922,2
5748,5797,6114,6187,6195,6070,6098,315,252,3
3487,3393,3612,3987,4208,4258,4301,2436,2283,1
8734,8462,8728,8717,8734,8071,8448,834,811,3
1461,1543,1768,2124,2337,2413,2600,2188,2546,0
376,491,665,908,1202,1284,1288,1420,1048,0
338,551,596,1031,1536,1640,1659,1611,1204,0
359,549,461,930,2006,2270,2469,1694,1062,0
389,610,525,1026,2247,2554,2652,1888,1175,0
264,294,198,423,1092,1283,1342,581,344,0
259,543,358,921,3062,3774,3987,1641,898,0
183,315,158,560,2018,2486,2363,866,366,0
211,432,261,825,2742,3347,3285,1341,658,0
301,547,341,917,2982,3829,4083,1483,687,0
310,595,393,1044,2980,3608,4004,1499,709,0
369,707,537,1297,3040,3639,4089,1519,789,0
10554,9550,9252,9631,9285,8718,8692,6293,4676,1
526,751,946,1389,2263,2512,2653,1906,1067,0
1007,1159,1155,1456,2445,2670,2982,2025,1124,0
480,664,888,1326,2057,2372,2475,2213,1194,0
12000,11773,11258,11616,10927,10194,10105,6081,4071,1
615,919,1149,1655,2360,2711,3270,2781,1602,0
