B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
151,346,241,728,2748,3717,3987,1625,739,0
532,733,950,1124,1400,1559,1655,2195,1723,0
639,804,1064,1211,1560,1683,1699,2229,1926,0
3037,3241,3206,3598,4212,4335,4606,4032,3587,1
625,785,847,1130,1762,1948,1831,2169,1462,0
62,317,424,720,1134,1273,1372,1478,1060,0
197,372,464,766,1031,1122,1019,1074,777,0
146,65,30,82,89,87,35,0,3,2
3077,2496,2147,2126,2000,1783,1625,69,27,3
8364,8374,8596,8579,8373,7838,7649,320,321,3
7482,7371,7759,8214,8005,7343,7065,210,246,3
8871,8526,8596,9180,8607,7481,6952,103,121,3
7839,7282,7730,8667,8628,8320,8444,6432,6139,1
1077,1289,1490,1935,2353,2467,2719,2747,2497,0
288,484,592,912,1456,1574,1513,1805,1285,0
467,641,672,1045,2106,2362,2088,1808,1201,0
493,754,791,1196,2331,2643,2529,2096,1439,0
390,653,640,1016,2293,2585,2480,1721,1128,0
357,565,483,889,2774,3416,3373,1666,954,0
7578,6795,6498,6811,6557,6116,6149,5295,4134,1
205,392,319,993,2423,3062,3555,1941,1117,0
326,557,476,1158,2508,3104,3495,2080,1127,0
372,584,650,1160,2356,2780,3040,1825,970,0
562,736,959,1392,2600,2903,2981,2025,1149,0
298,503,782,967,1560,1785,1695,1235,662,0
9755,9120,9050,9526,9143,8494,8392,6060,4572,1
787,1126,1549,1795,2668,2989,3180,3069,2026,0
1221,1421,1824,2145,3005,3364,3760,3549,2309,0
584,728,828,1093,1727,1907,1727,1788,1149,0
976,1235,1405,1654,2626,2838,2973,2609,1899,0
