B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
423,719,684,1238,2254,2381,2285,1651,1006,0
737,1325,974,1687,3553,3918,4298,1973,1095,0
633,1057,885,1541,2798,3073,3367,1819,1132,0
4282,4235,4027,4343,4827,4945,5090,4445,3697,1
7629,7521,7375,7721,7986,7992,8099,7102,5920,1
59,393,671,848,1067,1295,1275,1637,1220,0
10489,9991,10322,10694,10310,10042,10381,9906,9203,1
5902,6310,6343,5964,5939,5838,6351,879,853,3
7008,6504,6556,6690,6598,6546,6550,5274,4198,1
7998,8231,8585,8598,8489,8015,7733,304,280,3
7865,7292,7518,7843,7789,7545,7600,3147,3044,1
4176,4044,4372,4374,4299,3910,4318,608,489,3
111,400,712,921,1057,1111,1249,1435,1170,0
231,511,646,967,1332,1386,1524,1677,1327,0
446,777,843,1309,1960,2086,2339,2196,1803,0
2135,2687,3044,3543,3887,3818,4269,3256,3009,1
282,557,453,1088,2532,2936,3183,1885,1236,0
371,624,469,974,2683,3163,3349,1692,1040,0
226,459,284,797,3023,3877,3955,1594,821,0
1721,1307,1221,1428,1746,1863,1978,921,986,1
230,412,300,724,2342,3087,3366,1257,669,0
35,89,89,198,650,906,956,334,157,2
399,625,697,1058,1786,2129,2471,1479,881,0
6549,6197,5491,5561,5614,5398,5380,4705,3634,1
3289,2834,2576,2789,3163,3167,3375,3110,2740,1
3913,3645,3262,3697,4201,4231,4429,3632,2997,1
871,1062,1400,1650,1770,1850,1974,2496,2154,0
12000,12000,12000,12000,12000,12000,12000,6916,5211,1
225,223,174,272,489,579,561,397,248,0
739,986,951,1648,2743,2960,3197,2393,1731,0
