B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
258,637,408,1174,3760,4304,4322,2045,968,0
335,723,581,1365,2515,2881,3419,2504,1379,0
413,633,827,1127,1782,1884,2071,2161,1545,0
494,645,745,1255,2248,2443,2112,1990,1219,0
6366,6088,5724,6266,6153,6157,5987,5752,4840,1
238,426,536,917,1636,1897,2005,1693,1052,0
4888,4380,4302,4369,4285,4069,3854,269,317,3
8520,8484,8645,8946,8707,8487,8512,1331,1424,1
3061,2714,2705,2822,2828,2844,2843,2515,2104,1
5855,5909,6003,5396,5585,5562,5528,445,277,3
3720,3615,3952,4340,4631,4663,4981,3554,3222,1
313,428,644,1315,1622,1677,1599,1883,1245,0
493,627,923,1538,2024,2116,1881,2658,1871,0
330,501,673,1128,1801,1921,1751,2174,1408,0
442,664,902,1206,2072,2301,2411,2407,1742,0
2023,2195,2304,2686,3157,3150,3301,3221,2727,1
378,614,605,1037,2480,2932,2810,1997,1172,0
386,615,571,1054,2763,3270,3489,1824,1029,0
267,498,363,909,2856,3448,3709,1897,981,0
811,931,830,1372,2933,3461,3786,2346,1337,0
252,480,446,937,2243,2604,2647,1859,1052,0
389,617,597,1009,2265,2733,2609,1950,1048,0
377,566,569,1010,2139,2445,2255,1866,1030,0
619,767,891,1253,2617,2907,2611,2131,1212,0
467,727,819,1229,2408,2691,3228,2174,1207,0
2080,2174,2244,2647,3515,3730,3892,2937,2536,1
721,1123,1429,1653,2688,3050,3255,3147,1802,0
793,1011,1241,1473,2407,2616,2891,2939,1940,0
6198,5236,5538,5912,6063,5874,5971,4744,4110,1
748,976,1285,1373,1813,1963,2006,2679,1937,0
