B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
403,865,720,1383,2258,2403,2466,1722,1140,0
523,1065,740,1608,2741,3098,3279,2047,1316,0
507,898,728,1360,2277,2511,2882,1717,1161,0
2834,3040,2996,3457,4173,4380,4563,3747,3049,1
7549,7668,7605,8055,8504,8627,8654,8209,7036,1
142,417,714,868,999,1118,1264,1568,1229,0
6995,6813,7035,7361,7288,7153,7269,6739,5987,1
5122,5002,5408,5512,5560,5403,5478,894,873,3
7383,6963,7010,7226,6995,6882,7077,5808,4659,1
8224,8397,8811,8429,8327,7775,7807,303,284,3
7258,6845,7035,7429,7370,7146,7210,2668,2638,1
3863,4042,4304,3584,3519,3333,3843,765,596,3
167,433,695,965,1048,1090,1211,1455,1110,0
316,633,769,1205,1553,1676,1759,1977,1584,0
308,720,921,1303,1992,2115,2265,2349,1929,0
1024,907,1020,1457,1970,2155,1995,1681,1508,0
381,709,635,1192,2633,2963,2997,2100,1427,0
450,737,639,1115,2726,3175,3213,1810,1154,0
296,596,406,950,2900,3540,3357,1657,936,0
2218,2309,2166,2161,2191,2067,2198,1510,1087,1
274,501,366,900,2296,2809,2919,1473,868,0
98,191,220,575,1177,1572,2011,1029,1368,0
478,694,891,1317,1905,2176,2403,1879,1223,0
5413,3880,3440,3572,3943,3895,3847,3520,2226,1
1442,1597,1662,1929,2368,2524,2804,2329,2024,1
4526,4089,4079,4341,4717,4585,4715,3981,2972,1
1041,1411,1723,1706,1887,1998,2214,2690,2312,0
12000,12000,12000,12000,12000,12000,12000,7003,5132,1
255,292,260,371,598,642,549,422,292,0
962,1458,1386,1885,3175,3447,3318,2532,1804,0
