B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
335,693,495,1295,3247,3614,3883,2138,1089,0
327,753,563,1325,2589,2987,3339,2529,1372,0
442,657,913,1079,1346,1488,1626,2015,1689,0
459,582,692,1007,1380,1669,1514,1645,1088,0
5815,5711,5614,5604,5632,5607,5768,5046,4202,1
54,325,539,763,1268,1347,1693,1501,1004,0
5039,4568,4318,4442,4285,4152,3921,387,409,3
8613,8347,8547,8494,8303,8069,8131,1300,1357,1
4425,3864,3823,3872,3821,3733,3876,3213,2833,1
7037,6881,7134,6796,6763,6528,6604,290,199,3
4323,4228,4576,4936,5244,5210,5457,4523,3947,1
283,445,650,1028,1403,1432,1375,1535,1083,0
457,621,836,1227,1554,1677,1670,2091,1564,0
302,446,630,952,1384,1499,1379,1714,1202,0
361,658,818,1217,1849,1920,1963,2336,1832,0
1975,2280,2707,3157,3701,3795,4033,3598,3482,0
341,601,616,1044,2188,2469,2539,1992,1295,0
406,622,574,1029,2435,2796,3084,1804,1106,0
281,517,405,898,2564,3052,3419,1730,962,0
815,942,940,1404,2806,3389,3715,2088,1214,0
277,509,481,904,1943,2270,2422,1638,991,0
398,647,581,1004,1989,2367,2603,1775,1000,0
341,548,553,957,1733,1982,2048,1692,1012,0
506,652,694,1000,1686,1879,2076,1637,1008,0
506,728,874,1267,2166,2404,2634,2110,1190,0
4610,4123,4002,4365,4824,4861,5029,4299,4161,1
789,1134,1471,1936,2506,2800,3167,3537,2232,0
1005,1481,1633,1854,2622,2932,3324,2783,2021,0
6121,5895,6021,6464,6538,6316,6511,5085,4324,1
733,979,1231,1428,1647,1780,1857,2430,1921,0
