B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
103,277,182,485,2471,3579,3794,1371,592,0
624,895,1141,1412,1582,1709,1937,2351,1884,0
622,937,1159,1428,1610,1755,1965,2415,2016,0
344,443,536,719,920,1013,1140,1083,868,0
426,601,775,977,1139,1264,1255,1790,1361,0
0,189,492,714,899,1007,1090,1677,1299,0
473,754,1012,1275,1402,1475,1630,2276,2095,0
1334,1548,1744,1844,1970,1999,2224,493,452,0
4211,3859,3693,3537,3431,3112,2984,138,122,3
8531,8639,8881,8909,8803,8228,7954,299,315,3
5295,5391,5724,6192,6343,6071,5986,1884,1533,1
8853,8591,8715,9234,8753,7633,6972,103,87,3
4210,3872,3756,4139,4199,4015,4019,2176,1827,1
249,436,689,1007,1138,1203,1312,1802,1478,0
332,570,731,969,1084,1127,1260,1748,1463,0
289,561,640,1028,1380,1476,1567,1897,1494,0
654,1017,1038,1491,1994,2136,2264,2444,2047,0
584,930,952,1462,2169,2302,2538,2375,1910,0
574,845,809,1321,2318,2553,2938,2509,1976,0
394,438,498,870,1492,1710,1901,1309,907,0
403,630,538,1171,2493,2920,3271,2076,1437,0
477,730,634,1184,2606,3107,3416,2140,1366,0
547,822,896,1291,2186,2559,2715,2096,1388,0
610,756,970,1109,1465,1643,1826,1731,1205,0
127,207,288,315,490,625,665,458,305,2
1295,1599,1887,1888,2698,3081,3112,2964,2431,0
1000,1221,1524,1530,1987,2254,2303,2568,2180,0
12000,10757,9523,10191,9735,9061,9054,3918,2969,1
853,1057,1250,1295,2012,2303,2249,2127,1512,0
1377,1792,1925,2141,2958,3154,3395,3224,2590,0
