B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
254,440,356,914,2588,3314,3678,1623,862,0
161,385,503,1000,1585,1862,2384,1944,1185,0
366,633,903,1199,1694,1972,2551,2242,1416,0
290,611,900,1128,1570,1787,2152,1054,601,0
368,477,567,819,1157,1294,1387,1502,1019,0
242,372,501,744,1040,1189,1313,1389,934,0
95,286,477,800,1174,1307,1413,1539,1116,2
86,165,230,475,650,796,788,694,454,2
4044,4340,4667,5135,5457,5563,5894,5283,4526,0
5941,5711,5954,6907,6918,6453,5544,343,244,3
5157,4748,4912,4829,4703,4366,4455,289,251,3
7043,6691,6883,6440,6350,5743,6114,407,280,3
123,181,289,483,621,657,817,658,514,2
341,473,635,1009,1269,1347,1627,1607,1223,0
413,713,816,1265,1739,1803,1891,2206,1794,0
6738,5919,5958,6453,6581,6216,6471,5551,4919,1
294,574,531,1210,2290,2574,2721,2098,1513,0
340,566,459,1005,2330,2685,3035,1701,1057,0
258,490,369,985,2621,3174,3432,1885,1193,0
276,457,327,927,2971,4043,4515,1842,999,0
166,365,259,881,2651,3446,3766,1639,965,0
383,554,365,1061,3060,3987,4413,1936,1215,0
1422,1343,1227,1597,2691,2990,3187,1982,1322,1
378,524,465,1191,2176,2498,3428,1784,1171,0
307,484,597,1132,1954,2243,2935,1801,1083,0
485,692,785,1313,2178,2477,2997,2352,1493,0
392,613,775,1248,2001,2304,2783,2220,1431,0
6692,6376,6224,6948,7479,7241,7435,6001,5659,1
2170,2863,2949,3290,4357,4558,4531,3336,2583,1
399,652,733,1526,2511,2858,3270,2779,1738,0
