B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
175,549,213,985,3301,4026,5428,1744,885,0
798,1196,1385,1432,2069,2277,2351,2296,1730,0
767,1179,1342,1456,2164,2361,2636,2190,1688,0
760,966,920,1188,1741,1900,2032,1602,1285,0
1793,1896,1684,2106,2996,3332,3678,3147,2085,1
354,603,728,1252,1917,2085,2274,2142,1521,0
57,194,347,744,1011,1118,1180,1196,860,2
3823,4301,4329,4358,4754,4843,5679,1163,957,1
3137,2789,2813,2358,2374,2334,2579,469,341,3
7914,8367,8424,7275,7351,7230,7513,521,508,3
4938,4691,4889,4465,4540,4320,4797,1008,1051,1
2046,2141,2776,3695,3758,3542,3505,1234,1031,0
1105,1137,1199,1627,1948,2055,2343,2170,1700,0
380,619,692,1141,1598,1753,1911,1988,1493,0
571,834,1022,1340,1816,1909,2452,2374,1987,0
3437,3312,3604,3892,4406,4287,4526,4339,3949,1
294,658,567,1351,2559,2798,3107,2228,1627,0
359,610,528,1165,2595,2928,3287,1877,1301,0
323,552,413,945,2742,3213,3514,1631,999,0
1999,2312,2316,2771,3691,3908,3971,3200,2789,1
249,483,367,968,2361,2858,3271,1620,1003,0
5769,4413,3954,4256,4505,4545,5052,4064,3443,1
444,693,813,1207,1939,2227,2585,1743,1221,0
1197,1105,1063,1270,1832,1942,2085,1576,1028,1
5374,4666,4637,5255,5666,5597,5955,4796,4611,1
862,1205,1424,1502,2780,3163,3448,2390,1458,0
1058,1349,1705,1562,2712,2982,2975,2459,1866,0
11247,10905,10858,11329,11070,10459,10267,7321,6049,1
790,1070,1127,1298,3043,3509,2986,1926,1169,0
576,880,812,1306,2667,2992,3057,1948,1192,0
