B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
414,671,580,1009,2950,3810,3938,1512,831,0
493,695,866,1223,1642,1871,2177,2288,1583,0
779,1061,1408,1422,1765,1952,2540,2438,1778,0
293,407,453,670,894,1028,1283,775,546,0
989,1111,1263,1310,1612,1728,2106,2124,1719,0
234,590,775,949,1241,1359,1688,1830,1389,0
392,617,890,1004,1269,1353,1703,1664,1422,0
10,131,153,128,205,248,237,171,113,2
4784,4770,5004,5375,5589,5623,5836,5264,4265,1
6790,6760,7088,7918,7755,7244,6591,500,440,3
3773,3833,4277,5075,5024,4656,4262,456,443,3
1905,1927,2274,3583,3558,3405,2836,869,699,1
373,500,752,859,1037,1115,1393,1120,926,0
421,796,1020,1213,1590,1652,1903,1841,1456,0
524,939,1186,1480,1824,1919,2048,2432,2102,0
2151,2013,2156,2558,3013,3113,3329,3051,2712,1
591,935,953,1460,2228,2481,2780,2282,1860,0
445,683,663,1148,2230,2621,3028,1916,1376,0
540,791,772,1210,2586,3145,3663,2155,1496,0
516,746,541,1006,3799,5094,5354,2028,971,0
466,674,617,1108,3243,4048,4140,1965,1090,0
1221,1984,1886,2273,3680,4152,4105,2754,1643,1
662,960,770,1363,4075,4800,4869,2241,1149,0
546,887,728,1444,3720,4189,4855,2069,1123,0
752,1000,1072,1423,3038,3476,3454,2167,1223,0
923,1159,1242,1561,2796,3106,3284,2603,1560,0
690,990,1150,1420,2152,2388,2783,2434,1548,0
9105,8397,7781,8222,8434,8098,8251,6646,5841,1
5575,5250,4970,5530,6044,5947,6180,4666,3947,1
760,1062,1170,1602,2911,3370,3996,2846,1808,0
