B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
262,600,365,1001,2982,3767,4723,1964,1105,0
496,780,873,1156,1677,1854,1905,2077,1481,0
423,580,755,1001,1332,1461,1414,1870,1576,0
4950,4974,4836,5271,5632,5741,5927,4637,3682,1
501,715,810,1141,1706,1937,1637,2173,1680,0
173,406,568,871,1279,1492,1208,1696,1257,0
4497,4439,4793,5611,5771,5824,5876,6164,6011,1
7689,7851,7997,7317,7460,7339,7661,1020,1031,1
5064,4910,5060,5228,5282,5238,5433,4403,3470,1
8338,8489,8795,8621,8403,7978,7537,369,339,3
7011,6727,7294,7606,7574,7287,7368,2223,2155,1
6526,6163,6307,5724,5533,5106,5723,742,620,3
367,581,854,1400,1655,1817,1743,2396,1778,0
497,679,831,1328,1851,2045,2189,2236,1892,0
618,915,1099,1510,2188,2259,2429,2636,2240,0
7271,6691,6661,7523,7534,7129,7365,5999,5243,1
410,662,678,1209,2462,2787,2673,2241,1623,0
479,742,690,1238,2595,2915,2968,2201,1566,0
398,661,589,1129,2578,3004,2925,2083,1428,0
5045,4497,4461,4738,4725,4455,4547,3940,3885,1
451,712,720,1231,2175,2432,2648,2298,1627,0
8242,7646,7191,6967,6223,5614,5534,3103,1811,1
598,824,1064,1353,2070,2375,2417,2341,1553,0
775,982,1172,1427,2365,2722,2523,2502,1594,0
1735,2802,3341,3836,4508,4637,5162,3987,3571,1
1246,1283,1246,1626,2429,2709,2852,1975,1424,1
992,1242,1596,1664,2116,2308,2445,3130,2576,0
11681,9701,8721,9426,9117,8731,8499,4765,3871,1
139,220,207,423,767,854,974,648,368,2
565,965,689,1453,3438,3785,4349,2658,1601,0
